0.51	0.52	0.27
0.51	0.52	0.27
0.51	0.52	0.26
0.51	0.52	0.27
0.51	0.52	0.26
0.51	0.52	0.27
0.51	0.52	0.26
0.51	0.52	0.25
0.51	0.52	0.24
0.51	0.52	0.24
0.51	0.52	0.24
0.51	0.52	0.24
0.51	0.52	0.23
0.51	0.52	0.22
0.51	0.52	0.21
0.51	0.52	0.2
0.51	0.52	0.2
0.51	0.52	0.21
0.51	0.52	0.22
0.51	0.52	0.23
0.51	0.52	0.23
0.51	0.52	0.22
0.51	0.52	0.21
0.51	0.52	0.22
0.51	0.52	0.22
0.51	0.52	0.23
0.51	0.52	0.24
0.51	0.52	0.24
0.52	0.52	0.25
0.51	0.52	0.24
0.51	0.52	0.25
0.51	0.52	0.24
0.51	0.52	0.25
0.51	0.52	0.26
0.51	0.52	0.26
0.51	0.52	0.26
0.51	0.52	0.26
0.51	0.52	0.27
0.51	0.52	0.27
0.51	0.52	0.26
0.51	0.52	0.25
0.51	0.52	0.25
0.51	0.52	0.26
0.51	0.52	0.26
0.51	0.52	0.26
0.51	0.52	0.26
0.51	0.52	0.27
0.51	0.52	0.28
0.51	0.52	0.28
0.51	0.52	0.27
0.51	0.52	0.26
0.51	0.52	0.25
0.51	0.52	0.26
0.51	0.52	0.25
0.51	0.52	0.24
0.51	0.52	0.25
0.51	0.52	0.24
0.51	0.52	0.23
0.51	0.52	0.22
0.51	0.52	0.21
0.51	0.52	0.21
0.51	0.52	0.22
0.51	0.52	0.23
0.51	0.52	0.24
0.51	0.52	0.23
0.51	0.52	0.22
0.51	0.52	0.21
0.51	0.52	0.22
0.51	0.52	0.21
0.51	0.52	0.2
0.51	0.52	0.19
0.51	0.52	0.19
0.51	0.52	0.19
0.51	0.52	0.18
0.51	0.52	0.18
0.51	0.52	0.18
0.51	0.52	0.17
0.51	0.52	0.16
0.51	0.52	0.17
0.51	0.52	0.17
0.51	0.52	0.16
0.51	0.52	0.16
0.51	0.52	0.16
0.51	0.52	0.16
0.51	0.52	0.17
0.51	0.52	0.16
0.51	0.52	0.17
0.51	0.52	0.16
0.51	0.52	0.15
0.51	0.52	0.14
0.51	0.52	0.14
0.51	0.52	0.14
0.51	0.52	0.15
0.51	0.52	0.14
0.51	0.52	0.13
0.51	0.52	0.13
0.51	0.52	0.12
0.51	0.52	0.12
0.51	0.52	0.13
0.51	0.52	0.12
0.51	0.52	0.13
0.51	0.52	0.13
0.51	0.52	0.14
0.51	0.52	0.15
0.51	0.52	0.16
0.51	0.52	0.15
0.51	0.52	0.15
0.51	0.52	0.15
0.51	0.52	0.15
0.51	0.52	0.14
0.51	0.52	0.13
0.51	0.52	0.12
0.51	0.52	0.13
0.51	0.52	0.13
0.51	0.52	0.13
0.51	0.52	0.13
0.51	0.52	0.12
0.51	0.52	0.12
0.51	0.52	0.13
0.51	0.52	0.14
0.51	0.52	0.15
0.51	0.52	0.14
0.51	0.52	0.15
0.51	0.52	0.14
0.51	0.52	0.15
0.51	0.52	0.14
0.51	0.52	0.15
0.51	0.52	0.16
0.51	0.52	0.17
0.51	0.52	0.16
0.51	0.52	0.16
0.51	0.52	0.17
0.51	0.52	0.18
0.51	0.52	0.19
0.51	0.52	0.2
0.51	0.52	0.21
0.51	0.52	0.21
0.51	0.52	0.22
0.51	0.52	0.23
0.51	0.52	0.24
0.51	0.52	0.23
0.51	0.52	0.23
0.51	0.52	0.22
0.51	0.52	0.21
0.51	0.52	0.2
0.51	0.52	0.19
0.51	0.52	0.2
0.51	0.52	0.2
0.51	0.52	0.19
0.51	0.52	0.2
0.51	0.52	0.21
0.51	0.52	0.2
0.51	0.52	0.21
0.51	0.52	0.21
0.51	0.52	0.2
0.51	0.52	0.21
0.51	0.52	0.2
0.51	0.52	0.21
0.51	0.52	0.22
0.51	0.52	0.21
0.51	0.52	0.21
0.51	0.52	0.22
0.51	0.52	0.21
0.51	0.51	0.21
0.51	0.51	0.21
0.51	0.51	0.2
0.51	0.51	0.2
0.51	0.51	0.19
0.51	0.51	0.2
0.51	0.51	0.2
0.51	0.51	0.19
0.51	0.51	0.18
0.51	0.51	0.19
0.51	0.51	0.2
0.51	0.51	0.21
0.51	0.51	0.22
0.51	0.51	0.22
0.51	0.51	0.23
0.51	0.51	0.22
0.51	0.51	0.21
0.51	0.51	0.2
0.51	0.51	0.2
0.51	0.51	0.21
0.51	0.51	0.22
0.51	0.51	0.23
0.51	0.51	0.23
0.51	0.51	0.24
0.51	0.52	0.25
0.51	0.52	0.25
0.51	0.52	0.25
0.51	0.52	0.25
0.51	0.52	0.24
0.51	0.52	0.23
0.51	0.52	0.24
0.51	0.52	0.24
0.51	0.52	0.25
0.51	0.52	0.26
0.51	0.51	0.27
0.51	0.52	0.27
0.51	0.52	0.26
0.51	0.52	0.26
0.51	0.52	0.27
0.51	0.52	0.27
0.51	0.52	0.28
0.51	0.52	0.28
0.51	0.51	0.28
0.51	0.51	0.28
0.51	0.52	0.28
0.51	0.52	0.29
0.51	0.51	0.29
0.51	0.51	0.28
0.51	0.52	0.27
0.51	0.52	0.27
0.51	0.52	0.26
0.51	0.51	0.26
0.51	0.51	0.26
0.51	0.51	0.26
0.51	0.51	0.27
0.51	0.51	0.26
0.51	0.51	0.25
0.51	0.51	0.26
0.51	0.51	0.25
0.51	0.51	0.25
0.51	0.51	0.26
0.51	0.51	0.27
0.51	0.51	0.28
0.51	0.51	0.29
0.51	0.51	0.29
0.51	0.51	0.29
0.51	0.51	0.3
0.51	0.51	0.29
0.51	0.51	0.3
0.51	0.51	0.31
0.51	0.51	0.3
0.51	0.51	0.3
0.51	0.51	0.3
0.51	0.51	0.31
0.51	0.51	0.31
0.51	0.51	0.3
0.51	0.51	0.29
0.51	0.51	0.28
0.51	0.51	0.27
0.51	0.51	0.28
0.51	0.51	0.28
0.51	0.51	0.28
0.51	0.51	0.28
0.51	0.51	0.27
0.5	0.51	0.27
0.51	0.51	0.26
0.51	0.51	0.27
0.51	0.51	0.28
0.51	0.51	0.28
0.51	0.51	0.27
0.51	0.51	0.28
0.51	0.51	0.29
0.51	0.51	0.28
0.51	0.51	0.29
0.51	0.51	0.3
0.51	0.51	0.3
0.51	0.51	0.31
0.51	0.51	0.32
0.51	0.51	0.33
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.35
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.35
0.51	0.51	0.35
0.51	0.51	0.36
0.51	0.51	0.36
0.51	0.51	0.36
0.51	0.51	0.35
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.35
0.51	0.51	0.36
0.51	0.51	0.37
0.51	0.51	0.36
0.51	0.51	0.36
0.51	0.51	0.37
0.51	0.51	0.38
0.51	0.51	0.37
0.51	0.51	0.38
0.51	0.51	0.37
0.51	0.51	0.36
0.51	0.51	0.35
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.34
0.51	0.51	0.33
0.51	0.51	0.33
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.33
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.35
0.51	0.51	0.34
0.51	0.51	0.33
0.51	0.51	0.32
0.51	0.51	0.33
0.51	0.51	0.33
0.51	0.51	0.33
0.51	0.51	0.34
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.34
0.51	0.51	0.35
0.51	0.51	0.36
0.51	0.51	0.36
0.51	0.51	0.36
0.51	0.52	0.36
0.51	0.52	0.37
0.51	0.52	0.37
0.51	0.52	0.36
0.51	0.52	0.36
0.51	0.52	0.36
0.51	0.52	0.36
0.51	0.52	0.36
0.51	0.52	0.36
0.51	0.51	0.36
0.51	0.51	0.37
0.51	0.51	0.37
0.51	0.51	0.36
0.51	0.51	0.37
0.51	0.51	0.38
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.52	0.39
0.51	0.52	0.4
0.51	0.52	0.41
0.51	0.52	0.4
0.51	0.52	0.4
0.51	0.52	0.41
0.51	0.52	0.42
0.51	0.52	0.41
0.51	0.52	0.41
0.51	0.52	0.41
0.51	0.52	0.41
0.51	0.52	0.41
0.51	0.52	0.41
0.51	0.52	0.4
0.51	0.52	0.41
0.51	0.52	0.4
0.51	0.52	0.4
0.51	0.52	0.4
0.51	0.52	0.4
0.51	0.52	0.41
0.51	0.52	0.42
0.51	0.52	0.43
0.51	0.52	0.43
0.51	0.52	0.43
0.51	0.52	0.42
0.51	0.52	0.43
0.51	0.52	0.43
0.51	0.52	0.43
0.51	0.52	0.43
0.51	0.52	0.44
0.52	0.52	0.44
0.52	0.52	0.43
0.52	0.52	0.44
0.52	0.52	0.45
0.52	0.52	0.46
0.52	0.52	0.46
0.52	0.52	0.45
0.51	0.52	0.45
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.5
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.49
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.45
0.51	0.52	0.45
0.51	0.52	0.44
0.51	0.52	0.44
0.51	0.52	0.44
0.51	0.52	0.43
0.51	0.52	0.43
0.51	0.52	0.43
0.51	0.52	0.44
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.46
0.51	0.52	0.46
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.45
0.51	0.52	0.45
0.51	0.52	0.45
0.51	0.52	0.45
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.46
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.5
0.51	0.52	0.5
0.51	0.52	0.5
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.49
0.51	0.52	0.5
0.51	0.52	0.49
0.51	0.52	0.49
0.51	0.52	0.49
0.51	0.52	0.5
0.51	0.52	0.5
0.51	0.52	0.5
0.51	0.52	0.51
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.59
0.51	0.52	0.58
0.51	0.52	0.59
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.52
0.51	0.52	0.51
0.51	0.52	0.5
0.51	0.52	0.51
0.51	0.52	0.51
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.51
0.51	0.52	0.52
0.51	0.52	0.52
0.51	0.52	0.51
0.51	0.52	0.5
0.51	0.52	0.51
0.5	0.52	0.51
0.51	0.52	0.5
0.51	0.52	0.5
0.51	0.52	0.51
0.51	0.52	0.5
0.51	0.52	0.5
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.47
0.51	0.52	0.46
0.51	0.52	0.45
0.51	0.52	0.46
0.51	0.52	0.47
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.48
0.51	0.52	0.49
0.51	0.52	0.5
0.51	0.52	0.51
0.51	0.52	0.51
0.51	0.52	0.51
0.51	0.52	0.52
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.52
0.51	0.52	0.51
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.57
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.59
0.51	0.52	0.59
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.58
0.51	0.52	0.58
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.57
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.51
0.51	0.52	0.52
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.55
0.52	0.52	0.5600000000000001
0.52	0.52	0.57
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.59
0.51	0.52	0.59
0.51	0.52	0.58
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.58
0.51	0.52	0.59
0.51	0.52	0.58
0.51	0.52	0.59
0.51	0.52	0.58
0.51	0.52	0.59
0.51	0.52	0.59
0.51	0.52	0.59
0.51	0.52	0.6
0.51	0.52	0.6
0.51	0.52	0.61
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.64
0.51	0.52	0.65
0.51	0.52	0.66
0.51	0.52	0.65
0.51	0.52	0.65
0.51	0.52	0.64
0.51	0.52	0.64
0.51	0.52	0.64
0.51	0.52	0.63
0.51	0.52	0.63
0.51	0.52	0.64
0.51	0.52	0.63
0.51	0.52	0.64
0.51	0.52	0.63
0.51	0.52	0.64
0.51	0.52	0.65
0.51	0.52	0.64
0.51	0.52	0.65
0.51	0.52	0.66
0.51	0.52	0.65
0.51	0.52	0.64
0.51	0.52	0.63
0.51	0.52	0.63
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.63
0.51	0.51	0.63
0.51	0.51	0.62
0.51	0.51	0.62
0.51	0.51	0.63
0.51	0.51	0.64
0.51	0.51	0.64
0.51	0.51	0.65
0.51	0.51	0.64
0.51	0.51	0.63
0.51	0.51	0.63
0.51	0.51	0.63
0.51	0.51	0.64
0.51	0.51	0.64
0.51	0.51	0.63
0.51	0.51	0.63
0.51	0.51	0.63
0.51	0.52	0.64
0.51	0.51	0.65
0.51	0.52	0.64
0.51	0.51	0.64
0.51	0.51	0.64
0.51	0.51	0.65
0.51	0.51	0.64
0.51	0.51	0.64
0.51	0.51	0.65
0.51	0.51	0.64
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.61
0.51	0.52	0.62
0.51	0.52	0.61
0.51	0.52	0.61
0.51	0.52	0.6
0.51	0.52	0.6
0.51	0.52	0.61
0.51	0.52	0.61
0.51	0.52	0.61
0.51	0.52	0.61
0.51	0.52	0.6
0.51	0.52	0.6
0.51	0.52	0.61
0.51	0.52	0.6
0.51	0.52	0.6
0.51	0.52	0.59
0.51	0.52	0.6
0.51	0.52	0.61
0.51	0.52	0.61
0.51	0.52	0.61
0.51	0.52	0.62
0.51	0.52	0.62
0.51	0.52	0.61
0.51	0.52	0.62
0.51	0.52	0.62
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.64
0.51	0.52	0.65
0.51	0.52	0.65
0.51	0.52	0.66
0.51	0.52	0.65
0.51	0.52	0.64
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.62
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.64
0.51	0.52	0.63
0.51	0.52	0.63
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.62
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.63
0.51	0.52	0.62
0.51	0.52	0.61
0.51	0.52	0.6
0.51	0.52	0.6
0.51	0.52	0.6
0.51	0.52	0.61
0.51	0.52	0.62
0.51	0.52	0.61
0.51	0.52	0.6
0.51	0.52	0.59
0.51	0.52	0.59
0.51	0.52	0.59
0.51	0.52	0.59
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.59
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.5600000000000001
0.51	0.52	0.57
0.51	0.52	0.58
0.51	0.52	0.57
0.51	0.52	0.57
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.5600000000000001
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.53
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.52
0.51	0.52	0.52
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.52	0.54
0.51	0.52	0.55
0.51	0.52	0.55
0.51	0.52	0.54
0.51	0.52	0.53
0.51	0.52	0.52
0.51	0.52	0.53
0.51	0.51	0.53
0.51	0.51	0.54
0.51	0.51	0.53
0.51	0.51	0.52
0.51	0.51	0.51
0.51	0.51	0.52
0.51	0.51	0.52
0.51	0.52	0.52
0.51	0.51	0.52
0.51	0.51	0.53
0.51	0.51	0.54
0.51	0.51	0.53
0.51	0.51	0.54
0.51	0.51	0.54
0.51	0.51	0.54
0.51	0.51	0.55
0.51	0.51	0.5600000000000001
0.51	0.51	0.57
0.51	0.51	0.57
0.51	0.51	0.57
0.51	0.51	0.5600000000000001
0.51	0.51	0.55
0.51	0.51	0.55
0.51	0.51	0.55
0.51	0.51	0.5600000000000001
0.51	0.51	0.57
0.51	0.51	0.58
0.51	0.51	0.58
0.51	0.51	0.57
0.51	0.51	0.57
0.51	0.51	0.58
0.51	0.51	0.58
0.51	0.51	0.59
0.51	0.51	0.58
0.51	0.51	0.58
0.51	0.51	0.58
0.51	0.51	0.59
0.51	0.51	0.58
0.51	0.51	0.58
0.51	0.51	0.57
0.51	0.51	0.58
0.51	0.51	0.58
0.51	0.51	0.57
0.51	0.51	0.5600000000000001
0.51	0.51	0.55
0.51	0.51	0.55
0.51	0.51	0.54
0.51	0.51	0.55
0.51	0.51	0.55
0.51	0.51	0.54
0.51	0.51	0.53
0.51	0.51	0.52
0.51	0.51	0.53
0.51	0.51	0.52
0.51	0.51	0.51
0.51	0.51	0.51
0.51	0.51	0.51
0.51	0.51	0.5
0.51	0.51	0.51
0.51	0.51	0.5
0.51	0.51	0.49
0.51	0.51	0.49
0.51	0.51	0.48
0.51	0.51	0.47
0.51	0.51	0.46
0.51	0.51	0.46
0.51	0.51	0.45
0.51	0.51	0.44
0.51	0.51	0.44
0.51	0.51	0.44
0.51	0.51	0.43
0.51	0.51	0.43
0.51	0.51	0.43
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.43
0.51	0.51	0.43
0.51	0.51	0.43
0.51	0.51	0.42
0.51	0.51	0.42
0.51	0.51	0.43
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.38
0.51	0.51	0.38
0.51	0.51	0.38
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.4
0.51	0.51	0.4
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.51	0.38
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.38
0.51	0.51	0.38
0.51	0.51	0.37
0.51	0.51	0.36
0.51	0.51	0.35
0.51	0.51	0.35
0.51	0.51	0.36
0.51	0.51	0.37
0.51	0.51	0.36
0.51	0.51	0.35
0.51	0.51	0.36
0.51	0.51	0.36
0.51	0.51	0.36
0.51	0.51	0.37
0.51	0.51	0.37
0.51	0.51	0.36
0.51	0.51	0.36
0.51	0.51	0.37
0.51	0.51	0.38
0.51	0.51	0.38
0.51	0.51	0.37
0.51	0.51	0.37
0.51	0.51	0.38
0.51	0.51	0.38
0.51	0.51	0.39
0.51	0.51	0.38
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.41
0.51	0.51	0.4
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.38
0.51	0.51	0.39
0.51	0.51	0.38
0.51	0.51	0.39
0.51	0.51	0.38
0.51	0.51	0.39
0.51	0.51	0.39
0.51	0.51	0.4
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.43
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.43
0.51	0.51	0.43
0.51	0.51	0.43
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.41
0.51	0.51	0.4
0.51	0.51	0.4
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.41
0.51	0.51	0.42
0.51	0.51	0.42
0.51	0.51	0.43
0.51	0.51	0.44
0.51	0.51	0.45
0.51	0.51	0.46
0.51	0.51	0.47
0.51	0.51	0.47
0.51	0.51	0.48
0.51	0.51	0.49
0.51	0.51	0.49
0.5	0.51	0.48
0.51	0.51	0.49
0.51	0.51	0.48
0.51	0.51	0.48
0.51	0.51	0.48
0.5	0.51	0.48
0.5	0.51	0.48
0.5	0.51	0.49
0.5	0.51	0.48
0.5	0.51	0.47
0.5	0.51	0.48
0.5	0.51	0.47
0.5	0.51	0.46
0.5	0.51	0.46
0.5	0.51	0.46
0.5	0.51	0.46
0.5	0.51	0.46
0.5	0.51	0.47
0.5	0.51	0.47
0.5	0.51	0.48
0.5	0.51	0.47
0.5	0.51	0.46
0.5	0.51	0.45
0.5	0.51	0.46
0.5	0.51	0.46
0.5	0.51	0.45
0.5	0.51	0.45
0.5	0.51	0.46
0.5	0.51	0.47
0.5	0.51	0.47
0.5	0.51	0.47
0.5	0.51	0.47
0.5	0.51	0.46
0.5	0.51	0.46
0.5	0.51	0.46
0.5	0.51	0.46
0.5	0.51	0.47
0.5	0.51	0.48
0.5	0.51	0.48
0.5	0.51	0.48
0.5	0.51	0.49
0.5	0.51	0.49
0.5	0.51	0.49
0.5	0.51	0.5
0.5	0.51	0.51
0.5	0.51	0.52
